Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Headline Arabic,Text,Text Arabic,Agreement/Event,Stage
,,,,,,,,,,,,,,
,,,,,,,,,PA-X: Yemen agreements and conflict events,,,,,
2011,5,1,,2011,5,1,,,AQAP captures Zinjinbar,تنظيم القاعدة في شبه الجزيرة العربية يستولي على زنجبار,The re-call of troops to Sanaa creates a security vacuum elsewhere in Yemen. Al-Qaeda in the Arabian Peninsula (AQAP) takes control of the town of Zinjinbar in Abyan governorate.,استدعاء القوات العسكرية إلى صنعاء يخلق فراغًا أمنيًا في أماكن أخرى في اليمن وتنظيم القاعدة في شبه الجزيرة العربية يسيطر على زنجبار في محافظة أبين.,Event,
,,,,,,,,,,,,,,
2011,6,7,,2011,6,7,,,Attempted assassination of President Saleh,محاولة اغتيال الرئيس صالح,President Saleh is wounded in attempted assassination. Vice President Abd Rabbu Mansour Hadi takes over as acting President while Saleh receives medical treatment in Riyadh.,أصيب الرئيس صالح في محاولة اغتيال وتولى نائب الرئيس عبد ربه منصور هادي منصب القائم بأعمال الرئيس في حين يتلقى صالح العلاج في الرياض.,Event,
,,,,,,,,,,,,,,
2011,9,12,,2011,9,12,,,Presidential Decree No. (24) FY 2011,قرار رئاسي رقم (24) لسنة 2011,English:  https://www.peaceagreements.org/masterdocument/1402,باللغة الإنجليزية: https://www.peaceagreements.org/masterdocument/1402,Agreement,Substantive-Partial
,,,,,,,,,,,,,,
2011,11,23,,2011,11,23,,,Signing of GCC Initiative,التوقيع على مبادرة مجلس التعاون الخليجي,President Saleh signs the Implementation Mechanism of the GCC Initiative transferring power to Vice President Hadi. https://www.peaceagreements.org/masterdocument/758,الرئيس صالح يوقع الآلية التنفيذية للمبادرة الخليجية لنقل السلطة إلى نائبه هادي. https://www.peaceagreements.org/masterdocument/758,Event,
,,,,,,,,,,,,,,
2011,11,23,,2011,11,23,,,Agreement on the Implementation Mechanism for the Transition Process in Yemen in Accordance with the Initiative of the Gulf Cooperation Council (GCC Implementation Mechanism),اتفاقية الآلية التنفيذية للعملية الانتقالية في اليمن وفقاً لمبادرة مجلس التعاون الخليجي,English: https://www.peaceagreements.org/masterdocument/758,"باللغة الإنجليزية: https: //www.peaceagreements.org / masterdocument / 758",Agreement,Substantive-Partial
,,,,,,,,,,,,,,
2011,11,23,,2011,11,23,,,Agreement/Gulf Cooperation Council (GCC) Initiative,الاتفاقية / مبادرة مجلس التعاون الخليجي,English: https://www.peaceagreements.org/masterdocument/1401,"باللغة الإنجليزية: https: //www.peaceagreements.org/masterdocument/1401",Agreement,Substantive-Partial
,,,,,,,,,,,,,,
2011,12,7,,2011,12,7,,,"Decree No. (184) for the year 2011, to Form a Government of National Reconciliation",قرار رقم (184) لسنة 2011 بتشكيل حكومة المصالحة الوطنية,English:  https://www.peaceagreements.org/masterdocument/1399," باللغة الإنجليزية:https: //www.peaceagreements.org/masterdocument/1399",Agreement,Implementation
,,,,,,,,,,,,,,
2012,2,25,,2012,2,25,,,Vice President Hadi is elected President,يتم انتخاب نائب الرئيس هادي كرئيس,Vice President Hadi is elected as President with no competitors. Saleh remains head of the ruling GPC party.,ينتخب نائب الرئيس هادي كرئيس بدون منافسين ويبقى صالح رئيس حزب المؤتمر الشعبي العام الحاكم.,Event,
,,,,,,,,,,,,,,
2012,2,1,,2012,6,1,,,Violence in Sadaa and surrounding governorates intensifies,تصاعد العنف في صعدة والمحافظات المحيطة بها,February-June: Violence between Houthi fighters clash and tribal militias intensifies in regions surrounding Sadaa governorate including Hajjah and Amran governorates.,فبراير إلى يونيو: تصاعد العنف بين المقاتلين الحوثيين والميليشيات القبلية في المناطق المحيطة بمحافظة صعدة بما في ذلك محافظتي حجة وعمران.,Event,
,,,,,,,,,,,,,,
2012,4,1,,2012,4,1,,,Hadi implements aspects of Security Sector Reform,هادي ينفذ جوانب من إصلاح قطاع الأمن,April: President Hadi fires 20 senior military offices appointed by former President Saleh.,أبريل: الرئيس هادي يقيل 20 قائدا عسكريا كبيرا عينهم الرئيس السابق صالح.,Event,
,,,,,,,,,,,,,,
2012,6,1,,2012,6,1,,,Zinjinbar re-captured from AQAP,استعادة زنجبار من القاعدة في شبه الجزيرة العربية,June: Yemeni army re-takes Zinjinbar from AQAP with support from local militias known as Popular Committees.,يونيو: الجيش اليمني يستعيد زنجبار من القاعدة في شبه الجزيرة العربية بدعم من مليشيات محلية معروفة باللجان الشعبية.,Event,
,,,,,,,,,,,,,,
2012,8,1,,2012,8,1,,,Republican Guard is targeted for SSR,تستهدف الإصلاحات الأمنية الحرس الجمهوري,"President Hadi announces restructuring of the Republican Guard, an elite unit under the command of Saleh's son, Ahmed Ali Saleh.","الرئيس هادي يعلن إعادة هيكلة الحرس الجمهوري، وحدة عسكرية خاصة تحت قيادة نجل صالح، أحمد علي صالح.",Event,
,,,,,,,,,,,,,,
2012,9,1,,2012,9,1,,,Houthis organise protests in Sanaa,ينظم الحوثيون احتجاجات في صنعاء,"September: Houthis, increasingly known as Ansar Allah, organise protests in Sanaa against the US film 'Innocence of Muslims' consolidating their support in the city.","سبتمبر: ينظم الحوثيون، المعروفون بأنصار الله، احتجاجات في صنعاء ضد الفيلم الأمريكي ""براءة المسلمين"" الأمر الذي يوطد الدعم لهم في المدينة.",Event,
,,,,,,,,,,,,,,
2013,3,18,,2013,3,18,,,National Dialogue Conference begins,يبدأ مؤتمر الحوار الوطني,The National Dialogue Conference (NDC) begins as part of the GCC Initiative gathering 565 delegates from across Yemen's political spectrum and establishing 9 working groups looking at the country's most pressing issues.,يبدأ مؤتمر الحوار الوطني في إطار مبادرة مجلس التعاون الخليجي ويضم مؤتمر الحوار 565 مندوبا من مختلف الأطياف السياسية في اليمن وتنشأ 9 مجموعات عمل تبحث في القضايا الأكثر إلحاحا في البلاد.,Event,
,,,,,,,,,,,,,,
2013,4,10,,2013,4,10,,,Hadi removes senior figures from strategic military commands,يقيل هادي شخصيات بارزة من قيادة وحدات عسكرية استراتيجية,"Hadi removes Ahmed Saleh and Ali Mohsin al-Ahmar as commanders of the Republican Guard and First Armoured Division, respectively, 'promoting' them to diplomatic and advisory positions.","يقيل هادي أحمد صالح قائد الحرس الجمهوري وعلي محسن الأحمر قائد الفرقة الأولى مدرع ""ويرقيهم"" إلى مناصب دبلوماسية واستشارية.",Event,
,,,,,,,,,,,,,,
2013,6,1,,2013,6,1,,,Southern leaders protest NDC,القادة الجنوبيون يحتجون على مؤتمر الحوار الوطني,June-July: Southern Movement leader Ahmed bin Farid withdraws from NDC on April 25. Other Southern leaders temporarily withdraw in June and return in July after a fist-fight broke out in the NDC's Southern Issue Working Group.,يونيو إلى يوليو: ينسحب زعيم الحركة الجنوبية أحمد بن فريد من مؤتمر الحوار الوطني في 25 أبريل. وقام قادة جنوبيون آخرون بالانسحاب مؤقتًا في يونيو وعادوا في يوليو بعد اشتباكات بالأيدي في مجموعة عمل القضية الجنوبية في مؤتمر الحوار الوطني,Event,
,,,,,,,,,,,,,,
2013,9,1,,2013,9,1,,,NDC is extended for 6 months,تمديد مؤتمر الحوار الوطني لستة أشهر أخرى,NDC extended for 6 months.,يمدد مؤتمر الحوار الوطني لستة أشهر,Event,
,,,,,,,,,,,,,,
2013,11,28,,2013,11,28,,,Important southern figures withdraws from NDC,تنسحب شخصيات جنوبية مهمة من مؤتمر الحوار الوطني,"Southern representative, Muhammad Ali Ahmed, withdraws from NDC citing a 'dead end'.",ينسحب أحد ممثلي الجنوب محمد علي أحمد من مؤتمر الحوار الوطني مشيرا إلى وصول المؤتمر إلى طريق مسدود.,Event,
,,,,,,,,,,,,,,
2013,12,20,,2013,12,20,,,Killing of Hamdrami Sheikh at checkpoint in Seyoun,مقتل شيخ حضرمي في نقطة امنية,"Hadrami Shiekh, Said bin Hamad, killed by Yemeni armed forces at a checkpoint in Sayoun, Hadramawt. Hadramawt Tribal Confederation demand the responsibility for local security be handed over to local militias.",يقتل الشيخ الحضرمي سعيد بن حمد على يد القوات المسلحة اليمنية عند نقطة تفتيش في سيئون بحضرموت ويطالب حلف قبائل حضرموت بتسليم المسؤولية عن الأمن المحلي إلى مليشيات محلية.,Event,
,,,,,,,,,,,,,,
2013,12,23,,2013,12,23,,,Agreement on a Just Solution issued by NDC Southern Working Group,اتفاق لحل عادل صادر عن مجموعة القضية الجنوبية في مؤتمر الحوار الوطني,"December 23: NDC's Southern Working Group issues the Agreement on a Just Solution to the Southern Question, where the members, including a Houthi representative, agreed that Yemen would become a federal state. http://constitutionnet.org/sites/default/files/140118_agreement_on_the_southern_question_en_final.pdf","23 ديسمبر: يصدر فريق القضية الجنوبية في مؤتمر الحوار الوطني الحل العادل للقضية الجنوبية، حيث اتفق الأعضاء، بمن فيهم ممثل الحوثي، على أن تصبح اليمن دولة اتحادية. http://constitutionnet.org/sites/default/files/140118_agreement_on_the_southern_question_en_final.pdf",Event,
,,,,,,,,,,,,,,
2014,1,6,,2014,1,6,,,Ceasefire between Dar al-Hadith and Houthis after 6 months of violence,وقف إطلاق النار بين دار الحديث والحوثيين بعد ستة أشهر من القتال,"A ceasefire is mediated by the Hadi government, ending 6 months of fighting between Ansar Allah (the Houthis) and Salafist students at the Dar al-Hadith Madrassa in Dammaj. 300 students are evacuated and the Madrassa destroyed.",توسطت حكومة هادي لوقف إطلاق النار منهيةً ستة أشهر من القتال بين أنصار الله (الحوثيين) والطلاب السلفيين في دار الحديث في دماج وتم إجلاء 300 طالب وتدمير المدرسة.,Event,
,,,,,,,,,,,,,,
2014,1,6,,2014,1,6,,,Ceasefire between Salafists and Houthis in Dammaj,,,,Agreement,Ceasefire
,,,,,,,,,,,,,,
2014,1,11,,2014,1,11,,,Letter to Presidential Mediation Council on Terms of Ceasefire from Sheikh al-Hajuri,,Ceasefire Agreement,,Agreement,Ceasefire
,,,,,,,,,,,,,,
2014,1,25,,2014,1,25,,,NDC issues Outcomes Document ending the proceedings,ينتهي مؤتمر الحوار الوطني بإصداره وثيقة مخرجات الحوار الوطني ,"NDC ends and issues the NDC Outcomes Document containing 1,800 points designed to guide the drafting of the new Yemeni constitution. English:  https://www.peaceagreements.org/masterdocument/1400 Arabic:  https://www.peaceagreements.org/document/1258","بتوزيع وإصدار وثيقة مؤتمر الحوار الوطني الشامل التي تحتوي على 1،800 نقطة تهدف إلى توجيه صياغة الدستور اليمني الجديد. باللغة الإنجليزية: https://www.peaceagreements.org/masterdocument/1400باللغة العربية: https://www.peaceagreements.org/document/1258 ",Agreement,Substantive-Partial
,,,,,,,,,,,,,,
2014,10,24,,2014,10,24,,,Ajmar Agreement,,Ceasefire Agreement,,Agreement,Ceasefire
,,,,,,,,,,,,,,
